x,y,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On
-87.724915824,41.870833505,1453290,G184121,04/01/2001 03:00:00 AM,039XX W POLK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1132,011,,,14,1149960,1896109,2001,08/17/2015 03:03:40 PM
-87.727106868,41.931896171,1909884,G758222,10/24/2001 03:58:00 AM,040XX W DIVERSEY AV,0820,THEFT,$500 AND UNDER,WAREHOUSE,false,false,2523,025,,,06,1149206,1918356,2001,08/17/2015 03:03:40 PM
-87.664683064,41.803222941,1863086,G705615,11/24/2001 11:07:02 AM,049XX S ASHLAND AV,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0931,009,,,14,1166557,1871594,2001,08/17/2015 03:03:40 PM
-87.625448401,41.878260207,11414640,JB394184,08/15/2018 08:10:00 AM,0000X E JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,0113,001,2,32,08B,1177029,1899023,2018,08/22/2018 04:19:05 PM
-87.625185222,41.750940757,3242632,HK261885,03/25/2004 04:05:00 PM,0000X W 79TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0623,006,6,44,11,1177483,1852629,2004,02/28/2018 03:56:25 PM
-87.676748377,41.885203294,7956751,HT174191,03/04/2011 01:30:00 PM,002XX N DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1332,012,27,28,14,1163039,1901442,2011,02/10/2018 03:50:01 PM
-87.657394424,41.684875867,7766904,HS574773,10/20/2010 10:30:00 PM,014XX W 115TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2234,022,34,75,06,1168883,1828485,2010,02/10/2018 03:50:01 PM
-87.775106055,41.931151643,8245411,HT478983,09/03/2011 02:13:00 AM,059XX W DIVERSEY AVE,0620,BURGLARY,UNLAWFUL ENTRY,DAY CARE CENTER,true,false,2514,025,30,19,05,1136147,1917996,2011,02/10/2018 03:50:01 PM
-87.709850866,41.84216576,2739217,HJ352649,05/09/2003 06:25:00 PM,027XX S HOMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,1032,010,22,30,18,1154139,1885692,2003,02/10/2018 03:50:01 PM
-87.689723621,41.778543874,6216134,HP299581,04/25/2008 07:50:00 AM,063XX S TALMAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0825,008,15,66,03,1159797,1862549,2008,02/28/2018 03:56:25 PM
-87.621482258,41.81936863,6548965,HP615738,10/08/2008 02:45:00 PM,041XX S INDIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0214,002,3,38,14,1178287,1877572,2008,02/10/2018 03:50:01 PM
-87.685537571,41.795213866,8079856,HT313003,05/24/2011 08:50:00 PM,024XX W 54TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0911,009,14,63,18,1160893,1868632,2011,02/10/2018 03:50:01 PM
-87.648450388,41.70595701,4877241,HM490992,07/21/2006 11:00:00 PM,010XX W 103RD PL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2232,022,34,73,26,1171265,1836186,2006,02/10/2018 03:50:01 PM
-87.653736823,41.797148726,5823365,HN633760,10/07/2007 04:27:29 AM,053XX S MAY ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,false,0934,009,16,61,04B,1169559,1869404,2007,02/10/2018 03:50:01 PM
-87.647215592,41.95066979,9762081,HX411965,08/29/2014 07:45:00 AM,037XX N PINE GROVE AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1925,019,46,6,06,1170890,1925361,2014,02/10/2018 03:50:01 PM
-87.763379746,41.876552273,4966024,HM577629,09/02/2006 02:15:00 PM,055XX W JACKSON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1522,015,29,25,14,1139470,1898121,2006,02/28/2018 03:56:25 PM
-87.640009077,41.899540054,3258215,HK263442,03/26/2004 11:00:00 AM,009XX N HUDSON AVE,2027,NARCOTICS,POSS: CRACK,CHA APARTMENT,true,false,1823,018,27,8,18,1173001,1906745,2004,02/28/2018 03:56:25 PM
-87.654989672,41.885535116,3010338,HJ715463,10/24/2003 11:00:00 AM,011XX W LAKE ST,0810,THEFT,OVER $500,STREET,false,false,1212,012,27,28,06,1168963,1901609,2003,02/28/2018 03:56:25 PM
-87.548170341,41.750418315,1771524,G589986,10/02/2001 04:02:05 AM,079XX S SOUTH SHORE DR,0460,BATTERY,SIMPLE,APARTMENT,false,false,0422,004,,,08B,1198500,1852621,2001,08/17/2015 03:03:40 PM
-87.69378445,41.862011728,4114778,HL377268,05/24/2005 11:49:26 PM,027XX W OGDEN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1023,010,28,29,18,1158463,1892956,2005,02/10/2018 03:50:01 PM
-87.612552184,41.831203853,5584950,HN388011,06/06/2007 08:10:00 AM,005XX E 35TH ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,SCHOOL, PUBLIC, BUILDING,false,false,0212,002,4,35,08B,1180685,1881905,2007,02/28/2018 03:56:25 PM
-87.649970953,41.911238058,2903499,HJ576714,08/21/2003 09:26:38 AM,016XX N CLYBOURN AVE,0890,THEFT,FROM BUILDING,BARBERSHOP,false,false,1813,018,32,7,06,1170255,1910986,2003,02/28/2018 03:56:25 PM
-87.760872229,41.950516139,8581738,HV254511,04/21/2012 08:30:00 AM,053XX W BERENICE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1634,016,38,15,05,1139973,1925078,2012,02/04/2016 06:33:39 AM
-87.747962396,41.974133584,6292182,HP381746,06/05/2008 02:00:00 PM,051XX N CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1621,016,45,12,05,1143426,1933708,2008,02/28/2018 03:56:25 PM
-87.678473252,41.943898495,4160257,HL494158,07/18/2005 10:00:00 PM,034XX N DAMEN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1913,019,32,5,26,1162406,1922827,2005,02/28/2018 03:56:25 PM
